Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor
квартира,40.20,4 298 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.64,2.76,2/8
квартира,40.30,4 309 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.64,2.76,6/8
квартира,40.30,4 309 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.64,2.76,5/8
квартира,41.30,4 416 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.69,2.76,5/8
квартира,40.40,4 320 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.64,2.76,4/8
квартира,41.20,4 405 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.69,2.76,4/8
квартира,41.20,4 405 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.69,2.76,2/8
квартира,45.30,4 350 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,18.00,2.76,1/8
квартира,42.70,4 312 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,6/8
квартира,42.40,4 282 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,8/8
квартира,41.20,4 405 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.69,2.76,6/8
квартира,41.00,4 384 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.00,2.76,6/8
квартира,40.90,4 171 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.69,2.76,1/8
квартира,37.20,4 125 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,5/8
квартира,42.10,4 251 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,2/8
квартира,42.30,4 271 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,5/8
квартира,42.30,4 271 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,3/8
квартира,37.20,4 162 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.04,2.76,7/8
квартира,42.30,4 271 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,7/8
квартира,41.90,4 231 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.30,2.76,2/8
квартира,41.90,4 190 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.70,2.76,1/8
квартира,37.20,4 162 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.04,2.76,6/8
квартира,39.80,4 137 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.73,2.76,3/8
квартира,37.20,4 272 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.04,2.76,2/8
квартира,41.30,4 211 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.80,2.76,1/8
квартира,40.70,4 150 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.64,2.76,1/8
квартира,37.00,4 139 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.04,2.76,5/8
квартира,36.00,3 992 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.69,2.76,8/8
квартира,36.20,4 014 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.69,2.76,7/8
квартира,36.10,4 003 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.69,2.76,3/8
квартира,36.00,3 992 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.69,2.76,6/8
квартира,36.00,3 992 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.69,2.76,5/8
квартира,34.90,4 008 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,2/8
квартира,36.70,3 869 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,4/8
квартира,36.20,3 853 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,7/8
квартира,37.10,3 893 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,7/8
квартира,36.50,3 885 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,6/8
квартира,36.50,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,6/8
квартира,36.40,3 874 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,2/8
квартира,37.10,3 893 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,3/8
квартира,34.80,3 859 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,7/8
квартира,36.50,3 885 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,5/8
квартира,37.00,3 883 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,2/8
квартира,36.70,3 869 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,6/8
квартира,36.60,3 859 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,5/8
квартира,37.00,3 883 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,6/8
квартира,37.10,3 893 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.61,2.76,8/8
квартира,36.40,3 874 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,3/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,7/8
квартира,35.00,3 881 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,6/8
квартира,36.60,3 859 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,5/8
квартира,36.50,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,2/8
квартира,36.70,3 869 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,2/8
квартира,34.80,3 859 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,5/8
квартира,36.10,3 842 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,4/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,6/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,3/8
квартира,34.70,3 693 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.76,2.76,7/8
квартира,36.10,3 842 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.98,2.76,4/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,6/8
квартира,36.40,3 838 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,4/8
квартира,37.20,3 812 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,6/8
квартира,35.10,3 736 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.02,2.76,3/8
квартира,35.20,3 746 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,7/8
квартира,35.30,3 757 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.02,2.76,8/8
квартира,34.60,3 836 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,8/8
квартира,37.00,3 791 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,3/8
квартира,34.50,3 825 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,5/8
квартира,35.20,3 746 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,4/8
квартира,37.10,3 820 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,11.25,2.76,1/8
квартира,35.50,3 778 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,3/8
квартира,35.20,3 746 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,5/8
квартира,37.20,3 812 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,8/8
квартира,35.30,3 757 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,8/8
квартира,35.40,3 767 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.02,2.76,6/8
квартира,35.30,3 757 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.53,2.76,6/8
квартира,37.40,3 832 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,5/8
квартира,37.50,3 842 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,4/8
квартира,37.30,3 822 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,7/8
квартира,34.90,3 714 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.76,2.76,6/8
квартира,36.10,3 806 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,3/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.04,2.76,2/8
квартира,34.40,3 814 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.88,2.76,5/8
квартира,35.10,3 736 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,13.85,2.76,6/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,7/8
квартира,37.00,3 791 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.89,2.76,2/8
квартира,36.20,3 817 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,16.39,2.76,3/8
квартира,34.70,3 848 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.43,2.76,4/8
Студия,33.70,3 186 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,7/8
Студия,33.40,3 158 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,2/8
Студия,33.30,3 148 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,6/8
Студия,33.50,3 151 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,8/8
Студия,33.50,3 167 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,4/8
Студия,33.40,3 158 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,21.54,,5/8
Студия,26.20,2 853 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.97,,7/8
Студия,26.00,2 831 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.97,,6/8
Студия,25.90,2 949 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.97,,8/8
Студия,26.70,2 802 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.93,,6/8
Студия,25.20,2 869 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,14.97,,7/8
Студия,25.50,2 676 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.85,,8/8
Студия,26.60,2 791 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,17.93,,5/8
Студия,25.50,2 676 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.85,,6/8
Студия,25.20,2 644 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.56,,7/8
Студия,25.20,2 644 000 руб,Проспект Ветеранов,94.7 км,Красносельский район,15.56,,6/8
квартира,48.40,4 800 000 руб,Проспект Ветеранов,5.6 км,Красносельский район,15.00,,13/22
квартира,33.00,3 500 000 руб,Проспект Ветеранов,16.4 км,Красносельский район,14.20,2.60,2/8
Студия,24.35,2 935 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.01,,6/12
квартира,29.90,3 300 000 руб,Проспект Ветеранов,6.3 км,Красносельский район,16.70,,1/5
квартира,37.85,3 898 000 руб,Проспект Ветеранов,5.2 км,Красносельский район,14.55,2.75,10/20
квартира,37.90,3 950 000 руб,Ленинский  проспект,5.4 км,Красносельский район,19.00,,9/12
квартира,42.50,4 800 000 руб,Проспект Ветеранов,6 км,Красносельский район,28.20,2.50,5/5
Студия,24.20,3 580 000 руб,Проспект Ветеранов,6.1 км,Красносельский район,15.00,2.80,4/8
квартира,32.58,3 950 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.51,2.75,4/9
Студия,24.14,2 820 000 руб,Проспект Ветеранов,7.8 км,Красносельский район,17.08,,4/12
квартира,31.70,3 726 000 руб,Ленинский  проспект,5.8 км,Красносельский район,14.50,,15/22
квартира,45.60,4 290 000 руб,Ленинский  проспект,4.6 км,Красносельский район,27.00,2.54,7/9
Студия,28.20,2 940 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,16.39,2.75,2/20
квартира,54.16,7 000 000 руб,Проспект Ветеранов,7.9 км,Красносельский район,28.17,,5/10
квартира,37.00,4 100 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,,2/8
квартира,44.18,5 120 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,14.02,2.70,5/12
квартира,32.58,4 290 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,15.17,2.70,6/12
Студия,24.38,2 950 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,3/12
Студия,24.38,2 900 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,,3/12
Студия,24.35,2 900 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.01,,6/12
Студия,24.23,2 795 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.01,,12/12
Студия,24.83,2 735 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,3/12
квартира,35.20,4 250 000 руб,Проспект Ветеранов,4.4 км,Красносельский район,18.60,2.55,10/18
квартира,54.15,6 640 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,23.41,2.65,5/12
квартира,33.24,4 010 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,15.25,2.70,3/12
Студия,24.83,3 090 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,,7/12
квартира,51.50,5 200 000 руб,Автово,2.7 км,Красносельский район,30.00,2.70,3/16
Студия,24.60,2 770 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,12/12
Студия,24.58,2 750 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,,12/12
квартира,42.20,3 500 000 руб,Проспект Ветеранов,14 км,Красносельский район,22.00,2.50,1/2
квартира,35.00,4 890 000 руб,Проспект Ветеранов,5.3 км,Красносельский район,15.00,2.70,16/23
Студия,29.00,3 000 000 руб,Проспект Ветеранов,5.2 км,Красносельский район,16.52,,13/20
квартира,34.54,3 400 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.06,,4/20
квартира,53.95,4 983 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,30.69,,13/20
квартира,50.33,5 705 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,29.10,2.70,5/12
Студия,24.81,2 850 000 руб,Проспект Ветеранов,8.1 км,Красносельский район,18.00,,3/12
Студия,24.83,2 800 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,7/12
квартира,42.50,6 100 000 руб,Проспект Ветеранов,5.7 км,Красносельский район,16.70,2.80,3/16
квартира,42.00,3 650 000 руб,Проспект Ветеранов,7.5 км,Красносельский район,17.00,,6/16
Студия,24.23,2 900 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.01,,10/12
Студия,24.13,3 000 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.01,,11/12
квартира,35.00,3 300 000 руб,Проспект Ветеранов,14.4 км,Красносельский район,16.00,2.60,6/8
Студия,24.60,3 000 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,9/12
квартира,43.70,4 250 000 руб,Ленинский  проспект,4.6 км,Красносельский район,27.00,2.54,6/9
квартира,37.00,4 250 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,2.85,3/12
квартира,40.36,4 150 000 руб,Проспект Ветеранов,4.2 км,Красносельский район,18.84,,9/20
квартира,35.42,3 670 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.09,,9/20
квартира,48.50,3 500 000 руб,Проспект Ветеранов,14.5 км,Красносельский район,29.00,2.50,1/9
квартира,35.00,3 480 000 руб,Проспект Ветеранов,5.2 км,Красносельский район,14.07,2.75,2/12
квартира,40.10,4 050 000 руб,Проспект Ветеранов,6.4 км,Красносельский район,21.90,2.48,14/14
квартира,35.00,3 650 000 руб,Проспект Ветеранов,7.1 км,Красносельский район,19.10,,8/15
квартира,30.00,3 520 000 руб,Проспект Ветеранов,6.8 км,Красносельский район,16.00,,7/9
квартира,30.50,2 700 000 руб,Проспект Ветеранов,14.1 км,Красносельский район,17.80,2.55,3/9
квартира,34.00,3 400 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.10,,4/20
квартира,34.80,3 480 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,16.50,,1/8
квартира,47.00,5 300 000 руб,Автово,6.8 км,Красносельский район,28.30,2.50,1/9
квартира,30.50,2 860 000 руб,Проспект Ветеранов,14.9 км,Красносельский район,18.00,,2/4
квартира,51.25,5 140 000 руб,Проспект Ветеранов,5.2 км,Красносельский район,16.05,2.70,6/20
квартира,37.00,3 920 000 руб,Ленинский  проспект,5.4 км,Красносельский район,14.34,2.75,10/20
Студия,29.00,2 950 000 руб,Проспект Ветеранов,5.2 км,Красносельский район,17.00,2.70,20/20
квартира,53.60,5 450 000 руб,Ленинский  проспект,5.8 км,Красносельский район,30.30,,8/22
Студия,24.00,2 700 000 руб,Проспект Ветеранов,3.5 км,Красносельский район,18.00,,12/12
Студия,24.83,2 795 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,4/12
квартира,32.88,4 070 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,15.25,2.70,7/12
квартира,35.00,4 180 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,17.40,2.70,2/12
квартира,35.00,3 990 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,17.40,,5/12
квартира,35.06,4 600 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,17.00,,2/12
Студия,24.83,3 000 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,6/12
Студия,24.15,2 885 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,10/12
квартира,34.30,3 500 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.09,,4/20
квартира,54.00,7 100 000 руб,Проспект Ветеранов,7.9 км,Красносельский район,24.80,,5/12
квартира,48.00,6 990 000 руб,Проспект Ветеранов,5.6 км,Красносельский район,17.00,,4/14
Студия,24.80,2 899 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,2/12
квартира,36.04,4 000 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,15.05,,9/12
Студия,24.15,2 900 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.00,,11/12
квартира,52.90,5 950 000 руб,Ленинский  проспект,4.4 км,Красносельский район,18.20,,10/25
квартира,44.90,4 460 000 руб,Ленинский  проспект,6.1 км,Красносельский район,20.10,2.65,5/8
Студия,24.35,2 900 000 руб,Проспект Ветеранов,8.1 км,Красносельский район,18.01,,7/12
квартира,54.00,4 500 000 руб,Проспект Ветеранов,14.5 км,Красносельский район,33.00,2.60,5/8
квартира,35.00,3 150 000 руб,Проспект Ветеранов,14.4 км,Красносельский район,16.00,,7/8
Студия,24.81,2 950 000 руб,Автово,8.9 км,Красносельский район,18.00,,4/12
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,6/20
квартира,37.80,3 650 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.34,2.75,3/20
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,6/20
квартира,36.10,4 000 000 руб,Проспект Ветеранов,5.5 км,Красносельский район,12.50,2.70,4/22
квартира,37.20,4 550 000 руб,Проспект Ветеранов,7.8 км,Красносельский район,12.00,2.75,5/12
квартира,36.86,3 720 000 руб,Ленинский  проспект,5.6 км,Красносельский район,14.09,2.75,14/20
Студия,28.01,2 992 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,17/20
Студия,28.01,2 992 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,18/20
квартира,39.30,4 370 000 руб,Проспект Ветеранов,4.3 км,Красносельский район,17.60,2.65,15/15
квартира,50.80,5 090 000 руб,Автово,4.5 км,Красносельский район,29.10,,6/12
квартира,53.67,5 455 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,19/20
квартира,53.67,5 445 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,16/20
квартира,53.67,5 435 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,17/20
квартира,53.67,5 435 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,15/20
квартира,53.67,5 435 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,13/20
квартира,52.85,5 410 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,18/20
квартира,52.85,5 410 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,13/20
квартира,34.00,5 450 000 руб,Проспект Ветеранов,6.1 км,Красносельский район,17.30,,4/6
квартира,52.85,5 400 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,19/20
квартира,52.85,5 400 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,20/20
квартира,52.85,5 395 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.70,9/20
квартира,52.85,5 395 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.75,13/20
квартира,31.20,2 800 000 руб,Проспект Ветеранов,15.2 км,Красносельский район,17.00,2.55,1/4
Студия,26.80,2 850 000 руб,Проспект Ветеранов,8 км,Красносельский район,13.00,2.75,8/12
квартира,49.60,5 544 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,17.60,,8/10
Студия,25.00,3 600 000 руб,Проспект Ветеранов,8 км,Красносельский район,18.00,,2/12
квартира,36.00,5 400 000 руб,Проспект Ветеранов,6.5 км,Красносельский район,17.66,,8/8
квартира,51.00,4 750 000 руб,Автово,4.8 км,Красносельский район,32.00,2.60,1/9
квартира,32.59,3 800 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,15.25,,9/12
квартира,36.00,3 700 000 руб,Ленинский  проспект,6 км,Красносельский район,14.50,,10/21
квартира,50.00,4 400 000 руб,Проспект Ветеранов,16.9 км,Красносельский район,39.00,,2/5
квартира,52.60,5 500 000 руб,Ленинский  проспект,4 км,Красносельский район,28.70,,5/22
Студия,30.00,3 500 000 руб,Ленинский  проспект,4 км,Красносельский район,19.00,,3/14
квартира,52.00,5 200 000 руб,Автово,5.7 км,Красносельский район,25.70,,11/21
квартира,37.80,3 684 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,14.58,2.75,7/20
квартира,54.00,4 850 000 руб,Проспект Ветеранов,5.4 км,Красносельский район,28.36,2.75,2/20
Студия,25.00,2 800 000 руб,Проспект Ветеранов,8 км,Красносельский район,18.50,,9/12
квартира,35.36,4 280 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,17.40,2.70,1/12
квартира,53.70,4 800 000 руб,Проспект Ветеранов,14.6 км,Красносельский район,30.00,2.80,9/9
Студия,24.00,3 350 000 руб,Проспект Ветеранов,7.8 км,Красносельский район,16.00,,12/12
Студия,24.35,2 850 000 руб,Проспект Ветеранов,8.2 км,Красносельский район,18.01,,6/12
квартира,29.00,2 650 000 руб,Проспект Ветеранов,16.9 км,Красносельский район,16.80,2.55,5/5
квартира,47.00,4 500 000 руб,Проспект Ветеранов,6.5 км,Красносельский район,30.00,2.60,9/9
квартира,45.00,3 700 000 руб,Проспект Ветеранов,14.7 км,Красносельский район,31.00,,4/5
Студия,24.83,2 805 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,4/12
квартира,34.00,3 900 000 руб,Проспект Ветеранов,6.1 км,Красносельский район,17.00,,4/9
квартира,35.40,3 990 000 руб,Ленинский  проспект,4.4 км,Красносельский район,18.50,,2/18
Студия,24.23,2 800 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,18.00,,8/12
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,16/20
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,14/20
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,13/20
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,10/20
квартира,33.00,3 900 000 руб,Проспект Ветеранов,6.2 км,Красносельский район,20.10,2.50,4/9
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,10/20
Студия,28.17,3 048 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,10/20
Студия,28.17,3 043 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,18/20
Студия,28.17,3 043 000 руб,Ленинский  проспект,5.4 км,Красносельский район,3.41,2.80,16/20
Студия,28.17,3 043 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,6/20
Студия,28.90,3 350 000 руб,Ленинский  проспект,4.7 км,Красносельский район,19.70,,1/22
Студия,28.17,3 038 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,18/20
Студия,24.20,2 800 000 руб,Проспект Ветеранов,7.9 км,Красносельский район,17.40,,2/12
Студия,28.17,3 038 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,17/20
Студия,28.17,3 038 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,16/20
Студия,28.17,3 038 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,9/20
Студия,28.17,3 033 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,18/20
квартира,35.97,4 050 000 руб,Проспект Ветеранов,8.3 км,Красносельский район,17.76,,4/12
Студия,28.17,3 033 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,17/20
Студия,28.17,3 033 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.39,,5/20
Студия,28.17,3 012 000 руб,Ленинский  проспект,5.4 км,Красносельский район,3.41,2.80,14/20
Студия,28.01,3 012 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,8/20
Студия,28.01,3 002 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,12/20
Студия,28.01,3 002 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,13/20
Студия,28.01,2 997 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,15/20
Студия,28.01,2 992 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,13/20
Студия,28.01,2 992 000 руб,Ленинский  проспект,5.4 км,Красносельский район,21.52,,18/20
квартира,48.31,5 299 000 руб,Ленинский  проспект,5.4 км,Красносельский район,16.05,2.80,6/20
квартира,48.31,5 289 000 руб,Ленинский  проспект,5.4 км,Красносельский район,16.05,2.80,16/20
квартира,52.85,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,18/20
квартира,52.85,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,13/20
квартира,52.85,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,19/20
квартира,52.83,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,16/20
квартира,52.85,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,15/20
квартира,52.85,5 385 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,14/20
квартира,52.85,5 380 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,10/20
квартира,52.10,5 620 000 руб,Проспект Ветеранов,2.6 км,Красносельский район,29.80,2.60,7/12
квартира,52.85,5 375 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,10/20
квартира,52.85,5 365 000 руб,Ленинский  проспект,5.4 км,Красносельский район,30.69,2.80,6/20
