Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
5951,Студия,28.1,4 719 000,Пионерская,16.5,Приморский район,18.25,,9,19
5952,квартира,37.4,4 702 000,Проспект Просвещения,19.4,Приморский район,12.9,2.7,19,25
5953,квартира,37.4,4 860 000,Беговая,11.3,Приморский район,14.4,2.8,5,25
5954,квартира,38.8,4 671 000,Проспект Просвещения,19.4,Приморский район,15.2,2.7,10,12
5955,квартира,38.35,4 746 000,Комендантский  проспект,14.4,Приморский район,17.45,2.77,19,19
5956,квартира,36.3,4 858 000,Беговая,11.3,Приморский район,14.4,2.8,18,25
5957,квартира,37.4,4 643 000,Проспект Просвещения,19.4,Приморский район,12.9,2.7,12,25
5958,квартира,36.8,4 725 000,Беговая,11.3,Приморский район,14.4,2.8,3,25
5959,квартира,40.44,4 655 000,Проспект Просвещения,19.4,Приморский район,12.01,2.7,9,9
5960,квартира,37.7,4 546 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,7,25
5961,квартира,40.52,4 574 000,Проспект Просвещения,19.4,Приморский район,10.95,2.7,8,9
5962,квартира,40.52,4 488 000,Проспект Просвещения,19.4,Приморский район,10.95,2.7,7,9
5963,квартира,37.7,4 456 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,2,25
5964,квартира,37.4,4 469 000,Проспект Просвещения,19.4,Приморский район,11.9,2.7,20,25
5965,квартира,34.7,4 547 000,Беговая,11.3,Приморский район,14.6,2.8,3,25
5966,квартира,34.7,4 547 000,Беговая,11.3,Приморский район,14.4,2.8,3,25
5967,квартира,35.9,4 627 000,Беговая,11.3,Приморский район,14.3,2.8,2,25
5968,квартира,40.52,4 491 000,Проспект Просвещения,19.4,Приморский район,10.95,2.7,6,9
5969,квартира,35.33,4 477 000,Комендантский  проспект,14.4,Приморский район,9.92,2.75,1,24
5970,квартира,38.8,4 632 000,Проспект Просвещения,19.4,Приморский район,15.2,2.7,12,12
5971,квартира,40.52,4 618 000,Проспект Просвещения,19.4,Приморский район,10.95,2.7,9,9
5972,квартира,40.89,4 514 000,Проспект Просвещения,19.4,Приморский район,11.07,2.7,9,9
5973,квартира,40.44,4 569 000,Проспект Просвещения,19.4,Приморский район,12.01,2.7,8,9
5974,квартира,40.52,4 531 000,Проспект Просвещения,19.4,Приморский район,10.95,2.7,7,9
5975,квартира,36.1,4 403 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,10,12
5976,квартира,40.89,4 306 000,Проспект Просвещения,19.4,Приморский район,11.07,2.7,7,9
5977,квартира,36.1,4 407 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,12,12
5978,квартира,35.9,4 322 000,Проспект Просвещения,19.4,Приморский район,16.0,2.7,9,12
5979,квартира,40.89,4 350 000,Проспект Просвещения,19.4,Приморский район,11.07,2.7,8,9
5980,квартира,36.1,4 389 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,8,12
5981,квартира,36.1,4 424 000,Проспект Просвещения,19.4,Приморский район,13.9,2.7,9,12
5982,квартира,37.4,4 376 000,Проспект Просвещения,19.4,Приморский район,11.9,2.7,8,25
5983,квартира,35.7,4 383 000,Проспект Просвещения,19.4,Приморский район,11.2,2.7,11,12
5984,квартира,35.27,4 227 000,Проспект Просвещения,19.4,Приморский район,11.54,2.7,9,9
5985,квартира,34.2,4 156 000,Проспект Просвещения,19.4,Приморский район,13.3,2.7,9,9
5986,квартира,34.2,4 141 000,Проспект Просвещения,19.4,Приморский район,11.2,2.7,10,12
5987,квартира,40.89,4 263 000,Проспект Просвещения,19.4,Приморский район,11.07,2.7,6,9
5988,квартира,35.27,4 151 000,Проспект Просвещения,19.4,Приморский район,11.54,2.7,8,9
5989,квартира,35.37,4 236 000,Проспект Просвещения,19.4,Приморский район,13.3,2.7,9,9
5990,квартира,35.37,4 160 000,Проспект Просвещения,19.4,Приморский район,13.3,2.7,8,9
5991,квартира,30.65,4 078 000,Комендантский  проспект,14.4,Приморский район,14.01,2.75,17,24
